📡央视频道,#genre#
星光影院HD,http://192.168.11.1:4000/rtp/239.255.30.194:8231
全球大片HD,http://192.168.11.1:4000/rtp/239.255.30.196:8231
健康养生HD,http://192.168.11.1:4000/rtp/239.255.30.197:8231
看天下精选HD,http://192.168.11.1:4000/rtp/239.255.30.217:8231
海南卫视HD,http://192.168.11.1:4000/rtp/239.255.30.99:8231
安徽卫视HD,http://192.168.11.1:4000/rtp/239.255.30.84:8231
河北卫视HD,http://192.168.11.1:4000/rtp/239.255.30.85:8231
东南卫视HD,http://192.168.11.1:4000/rtp/239.255.30.86:8231
四川卫视HD,http://192.168.11.1:4000/rtp/239.255.30.91:8231
重庆卫视HD,http://192.168.11.1:4000/rtp/239.255.30.89:8231
中国教育-1HD,http://192.168.11.1:4000/rtp/239.255.30.90:8231
纪实人文HD,http://192.168.11.1:4000/rtp/239.255.30.176:8231
动漫秀场HD,http://192.168.11.1:4000/rtp/239.255.29.16:8231
全纪实HD,http://192.168.11.1:4000/rtp/239.255.29.17:8231
生活时尚HD,http://192.168.11.1:4000/rtp/239.255.29.18:8231
欢笑剧场HD,http://192.168.11.1:4000/rtp/239.255.29.19:8231
游戏风云HD,http://192.168.11.1:4000/rtp/239.255.29.20:8231
极速汽车HD,http://192.168.11.1:4000/rtp/239.255.29.21:8231
都市剧场HD,http://192.168.11.1:4000/rtp/239.255.29.22:8231
金色频道HD,http://192.168.11.1:4000/rtp/239.255.29.23:8231
法治天地HD,http://192.168.11.1:4000/rtp/239.255.29.24:8231
足球频道HD,http://192.168.11.1:4000/rtp/239.255.29.25:8231
快乐垂钓HD,http://192.168.11.1:4000/rtp/239.255.29.26:8231
云南卫视HD,http://192.168.11.1:4000/rtp/239.255.29.2:8231
河南卫视HD,http://192.168.11.1:4000/rtp/239.255.29.3:8231
广西卫视HD,http://192.168.11.1:4000/rtp/239.255.29.4:8231
📡甘肃频道,#genre#
甘肃卫视,http://192.168.11.1:4000/rtp/239.255.30.12:8231
甘肃经济频道,http://192.168.11.1:4000/rtp/239.255.30.114:8231
甘肃文化影视频道,http://192.168.11.1:4000/rtp/239.255.30.110:8231
公共应急频道,http://192.168.11.1:4000/rtp/239.255.30.113:8231
甘肃都市频道,http://192.168.11.1:4000/rtp/239.255.30.112:8231
甘肃少儿频道,http://192.168.11.1:4000/rtp/239.255.30.111:8231
绚丽甘肃影视,http://192.168.11.1:4000/rtp/239.255.30.126:8231
绚丽甘肃资讯,http://192.168.11.1:4000/rtp/239.255.30.127:8231
陇尚生活高清,http://192.168.11.1:4000/rtp/239.255.30.73:8231
甘肃卫视HD,http://192.168.11.1:4000/rtp/239.255.30.249:8231
文化影视HD,http://192.168.11.1:4000/rtp/239.255.30.250:8231
公共应急频道HD,http://192.168.11.1:4000/rtp/239.255.30.251:8231
甘肃都市HD,http://192.168.11.1:4000/rtp/239.255.30.252:8231
甘肃经济HD,http://192.168.11.1:4000/rtp/239.255.30.253:8231
甘肃少儿HD,http://192.168.11.1:4000/rtp/239.255.30.254:8231
移动电视,http://192.168.11.1:4000/rtp/239.255.30.177:8231
宕昌,http://192.168.11.1:4000/rtp/239.255.29.10:8231
📡综合频道,#genre#
中国交通频道,http://192.168.11.1:4000/rtp/239.255.29.29:8231
羽毛球精品赛事,http://192.168.11.1:4000/rtp/239.255.29.31:8231
家政频道,http://192.168.11.1:4000/rtp/239.255.29.6:8231
都市剧场,http://192.168.11.1:4000/rtp/239.255.30.49:8231
生活时尚,http://192.168.11.1:4000/rtp/239.255.30.54:8231
全纪实,http://192.168.11.1:4000/rtp/239.255.30.55:8231
法治天地,http://192.168.11.1:4000/rtp/239.255.30.56:8231
东方财经,http://192.168.11.1:4000/rtp/239.255.30.57:8231
七彩戏剧,http://192.168.11.1:4000/rtp/239.255.30.59:8231
动漫秀场,http://192.168.11.1:4000/rtp/239.255.30.60:8231
游戏风云,http://192.168.11.1:4000/rtp/239.255.30.61:8231
极速汽车,http://192.168.11.1:4000/rtp/239.255.30.63:8231
嘉佳卡通,http://192.168.11.1:4000/rtp/239.255.30.65:8231
金色频道,http://192.168.11.1:4000/rtp/239.255.30.64:8231
地理频道,http://192.168.11.1:4000/rtp/239.255.30.53:8231
空中课堂,http://192.168.11.1:4000/rtp/239.255.30.47:8231
股评汇,http://192.168.11.1:4000/rtp/239.255.30.75:8231
港剧风云,http://192.168.11.1:4000/rtp/239.255.30.77:8231
解密,http://192.168.11.1:4000/rtp/239.255.30.243:8231
军事,http://192.168.11.1:4000/rtp/239.255.30.244:8231
国学,http://192.168.11.1:4000/rtp/239.255.30.245:8231
早教,http://192.168.11.1:4000/rtp/239.255.30.246:8231
鉴赏,http://192.168.11.1:4000/rtp/239.255.30.247:8231
墨宝,http://192.168.11.1:4000/rtp/239.255.30.248:8231
IPTV足球,http://192.168.11.1:4000/rtp/239.255.30.102:8231
纪实频道,http://192.168.11.1:4000/rtp/239.255.30.129:8231
